# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 21:26:43 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8247638,K00907.04,Kepler-251 e,CONFIRMED,CANDIDATE,,,,,,99.6368000,2.00000e-03,-2.00000e-03,198.70010,7.40000e-03,-7.40000e-03,0.9400,0.180,-0.180,5.2728,,,907,,,4.08,,,406.0,,,,,,18.30,,,5634.00,,,4.320,,,1.0900,,,296.566220,44.105862,15.223
8255887,K00908.01,Kepler-720 b,CONFIRMED,CANDIDATE,,,,,,4.7083270,2.40000e-06,-2.40000e-06,171.44572,1.60000e-04,-1.60000e-04,0.0200,0.560,-0.560,3.1677,,,7998,,,11.26,,,1161.0,,,,,,540.20,,,5391.00,,,4.200,,,1.2900,,,298.635650,44.170940,15.113
8256049,K00909.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,16.3719022,,,172.76160,,,,,,2.9200,,,6829,,,,,,,,,,,,151.30,,,4070.00,,,4.733,,,,,,298.678620,44.175499,15.654
8414716,K00910.01,Kepler-721 b,CONFIRMED,CANDIDATE,,,,,,5.3920660,2.30000e-05,-2.30000e-05,171.72420,1.40000e-03,-1.40000e-03,0.7900,0.370,-0.370,3.1037,,,1186,,,2.88,,,804.0,,,,,,62.60,,,5017.00,,,4.620,,,0.7500,,,284.430510,44.480530,15.651
8490993,K00911.01,Kepler-722 b,CONFIRMED,CANDIDATE,,,,,,4.0936030,2.90000e-05,-2.90000e-05,171.00700,2.20000e-03,-2.20000e-03,0.7600,0.660,-0.660,2.3292,,,578,,,2.36,,,1092.0,,,,,,30.50,,,5820.00,,,4.520,,,0.9100,,,290.263280,44.556450,15.399
8505670,K00912.01,Kepler-252 c,CONFIRMED,CANDIDATE,,,,,,10.8485070,3.10000e-05,-3.10000e-05,171.80360,1.00000e-03,-1.00000e-03,0.2900,0.860,-0.860,2.9606,,,1640,,,1.97,,,472.0,,,,,,84.90,,,4214.00,,,4.760,,,0.5000,,,295.579350,44.545959,15.058
8505670,K00912.02,Kepler-252 b,CONFIRMED,CANDIDATE,,,,,,6.6683920,5.60000e-05,-5.60000e-05,137.43380,3.10000e-03,-3.10000e-03,0.7000,0.650,-0.650,1.8745,,,420,,,1.08,,,553.0,,,,,,21.90,,,4214.00,,,4.760,,,0.5000,,,295.579350,44.545959,15.058
8544996,K00913.01,Kepler-723 b,CONFIRMED,CANDIDATE,,,,,,4.0822769,8.00000e-07,-8.00000e-07,169.63670,6.00000e-05,-6.00000e-05,0.0300,0.180,-0.180,3.2244,,,18075,,,9.96,,,965.0,,,,,,1289.40,,,5463.00,,,4.610,,,0.7500,,,284.830470,44.658138,15.198
8552202,K00914.01,,CANDIDATE,CANDIDATE,,,,,,3.8866090,3.20000e-05,-3.20000e-05,169.74120,2.60000e-03,-2.60000e-03,0.5700,0.100,-0.100,3.2262,,,563,,,1.59,,,942.0,,,,,,19.00,,,5479.00,,,4.660,,,0.6800,,,288.726650,44.607510,15.371
3247396,K00121.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.8111355,,,136.45332,,,,,,3.6500,,,386,,,,,,,,,,,,60.30,,,6197.00,,,3.867,,,,,,294.460880,38.383461,12.759
8605074,K00915.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,37.6016097,,,194.71306,,,,,,7.9600,,,59919,,,,,,,,,,,,1491.20,,,5876.00,,,4.386,,,,,,282.306030,44.714661,15.505
8628973,K00916.01,Kepler-724 b,CONFIRMED,CANDIDATE,,,,,,3.3149523,6.70000e-06,-6.70000e-06,171.31200,6.10000e-04,-6.10000e-04,0.9000,0.250,-0.250,1.9184,,,1401,,,4.23,,,1113.0,,,,,,91.40,,,5401.00,,,4.460,,,0.9400,,,293.454830,44.792789,15.142
8655354,K00917.01,,CANDIDATE,CANDIDATE,,,,,,6.7197460,4.10000e-05,-4.10000e-05,173.35540,2.10000e-03,-2.10000e-03,0.4000,0.970,-0.970,2.2765,,,844,,,2.52,,,920.0,,,,,,32.60,,,5681.00,,,4.450,,,0.8600,,,301.049560,44.706299,15.172
